Student_ID,Attendance,Internal_Marks,Previous_Score,Study_Hours,Exam_Score,Performance_Level,Risk_Level
1161,67,63,49,5,66.4,Average,Moderate Risk
1162,86,89,65,5,74.3,Good,Low Risk
1163,68,71,73,6,72.7,Good,Low Risk
1164,96,86,90,3,83.3,Good,Low Risk
1165,92,61,80,5,68.8,Average,Moderate Risk
1166,83,62,46,7,66.8,Average,Moderate Risk
1167,74,41,43,5,54.8,Average,Moderate Risk
1168,91,66,92,5,71.0,Good,Low Risk
1169,91,81,89,5,87.5,Excellent,Low Risk
1170,83,41,84,10,73.9,Good,Low Risk
1171,100,65,50,10,77.4,Good,Low Risk
1172,71,56,68,3,52.8,Average,Moderate Risk
1173,98,79,95,1,70.1,Good,Low Risk
1174,61,72,75,5,54.6,Average,Moderate Risk
1175,62,48,64,9,64.2,Average,Moderate Risk
1176,96,82,60,1,78.1,Good,Low Risk
1177,76,93,75,3,66.6,Average,Moderate Risk
1178,61,87,49,4,76.5,Good,Low Risk
1179,61,78,76,1,66.7,Average,Moderate Risk
1180,87,68,48,1,53.8,Average,Moderate Risk
1181,82,81,63,8,76.7,Good,Low Risk
1182,96,94,74,2,74.0,Good,Low Risk
1183,91,65,88,8,88.8,Excellent,Low Risk
1184,92,74,74,7,80.3,Good,Low Risk
1185,60,89,87,10,89.4,Excellent,Low Risk
1186,78,64,75,10,79.2,Good,Low Risk
1187,61,63,57,2,51.8,Average,Moderate Risk
1188,85,52,88,6,72.5,Good,Low Risk
1189,91,46,78,6,66.0,Average,Moderate Risk
1190,65,75,71,3,55.2,Average,Moderate Risk
1191,91,84,63,2,71.8,Good,Low Risk
1192,63,59,62,1,43.4,Needs Improvement,High Risk
1193,70,40,71,6,57.9,Average,Moderate Risk
1194,76,47,76,5,59.9,Average,Moderate Risk
1195,97,85,51,9,83.7,Good,Low Risk
1196,83,55,88,1,69.1,Average,Moderate Risk
1197,64,53,94,7,75.4,Good,Low Risk
1198,93,51,52,5,64.9,Average,Moderate Risk
1199,65,90,62,5,65.6,Average,Moderate Risk
1200,81,62,64,2,57.9,Average,Moderate Risk
